"transaction_id","merchant_id","customer_id","customer_age","amount","transaction_amount_clean","location","purchase_category","transaction_time","transaction_year","transaction_month","transaction_day","transaction_hour","transaction_minute","transaction_second","is_fraudulent","card_type_MasterCard","card_type_Rupay","card_type_Visa","fraud_type_Identity theft","fraud_type_Malware","fraud_type_Payment card fraud","fraud_type_phishing","fraud_type_scam"
1,2028,684415,28,1262.77,1262.77,"Bangalore","","11/24/2023 22:39",2023,11,24,22,39,0,0,0,1,0,1,0,0,0,0
2,2046,447448,62,2222.928,2222.928,"Surat","POS","03/30/2024 16:18",2024,3,30,16,18,0,0,1,0,0,0,1,0,0,0
3,2067,975001,24,7509.832,7509.832,"Hyderabad","POS","03/07/2024 18:27",2024,3,7,18,27,0,0,1,0,0,0,1,0,0,0
4,2047,976547,62,2782.965,2782.965,"Hyderabad","Digital","02/01/2024 00:58",2024,2,1,0,58,0,0,0,1,0,0,0,1,0,0
5,2044,935741,19,6038.086,6038.086,"Bangalore","Digital","12/22/2023 18:42",2023,12,22,18,42,0,0,0,0,0,0,0,0,0,1
6,2001,774817,23,8526.012,8526.012,"Mumbai","","03/04/2024 22:33",2024,3,4,22,33,0,1,0,1,0,0,0,0,0,1
8,2094,266812,49,9396.354,9396.354,"Mumbai","POS","09/08/2023 01:13",2023,9,8,1,13,0,0,0,0,0,0,0,1,0,0
9,2035,401388,37,3904.2,3904.2,"Kolkata","Digital","01/09/2024 00:43",2024,1,9,0,43,0,0,0,0,1,0,1,0,0,0
603,2035,602861,51,6038.086,6038.086,"Ahmedabad","POS","03/08/2024 08:17",2024,3,8,8,17,0,0,1,0,0,1,0,0,0,0
11,2025,903776,43,6038.086,6038.086,"Hyderabad","Digital","02/12/2024 03:33",2024,2,12,3,33,0,0,0,0,1,0,0,0,1,0
12,2042,620576,33,8069.63,8069.63,"Hyderabad","POS","12/17/2023 07:43",2023,12,17,7,43,0,0,0,1,0,0,1,0,0,0
13,2026,787150,42,6038.086,6038.086,"Surat","POS","11/11/2023 07:38",2023,11,11,7,38,0,1,0,0,1,0,0,0,0,1
14,2068,523483,29,481.95,481.95,"","Digital","01/11/2024 14:48",2024,1,11,14,48,0,0,0,0,0,1,0,0,0,0
15,2019,679113,24,11429.748,11429.748,"Mumbai","Digital","09/10/2023 23:01",2023,9,10,23,1,0,1,0,0,1,0,0,1,0,0
16,2010,441188,56,10468.106,10468.106,"Jaipur","","02/14/2024 06:29",2024,2,14,6,29,0,0,1,0,0,1,0,0,0,0
17,2073,554435,34,10864.872,10864.872,"Surat","Digital","09/04/2023 03:38",2023,9,4,3,38,0,0,0,0,1,1,0,0,0,0
18,2037,953752,62,14761.674,14761.674,"Delhi","Digital","09/11/2023 04:51",2023,9,11,4,51,0,1,1,0,0,0,1,0,0,0
